"","CONDITION","SYNDROME","AGERANGE","prev_pop3"
"292","Sapovirus","02Outpatient","0-11mo",0.076501019322274
"293","Sapovirus","02Outpatient","12-23mo",0.102464865701825
"294","Sapovirus","02Outpatient","24-59mo",0.0685363948235917
"295","Sapovirus","02Outpatient","99MixedAges",0.0547040799664583
"296","Sapovirus","03Inpatient","0-11mo",0.0835465068020687
"297","Sapovirus","03Inpatient","12-23mo",0.11161254200763
"298","Sapovirus","03Inpatient","24-59mo",0.0749078647744421
"299","Sapovirus","03Inpatient","99MixedAges",0.0598722877714579
"300","Sapovirus","04Unspecified","99MixedAges",0.0490866058267265
"301","Shigella","00Asymptomatic","0-11mo",0.0176861327568517
"302","Shigella","00Asymptomatic","12-23mo",0.0518334729662805
"303","Shigella","00Asymptomatic","24-59mo",0.0847452359792118
"304","Shigella","00Asymptomatic","99MixedAges",0.0169962591760846
"305","Shigella","01CommunityDetected","0-11mo",0.0441567889496225
"306","Shigella","01CommunityDetected","12-23mo",0.123012019677254
"307","Shigella","01CommunityDetected","99MixedAges",0.042479038991718
"308","Shigella","02Outpatient","0-11mo",0.0572443833936281
"309","Shigella","02Outpatient","12-23mo",0.155665197669089
"310","Shigella","02Outpatient","24-59mo",0.237959269715952
"311","Shigella","02Outpatient","99MixedAges",0.0550980306477254
"312","Shigella","03Inpatient","0-11mo",0.0657045684809711
"313","Shigella","03Inpatient","12-23mo",0.175956249259416
"314","Shigella","03Inpatient","24-59mo",0.265602977424373
"315","Shigella","03Inpatient","99MixedAges",0.0632622908411439
"316","Shigella","04Unspecified","0-11mo",0.0527363511384713
"317","Shigella","04Unspecified","12-23mo",0.144595227311903
"318","Shigella","04Unspecified","24-59mo",0.222579787410624
"319","Shigella","04Unspecified","99MixedAges",0.0507499261059662
"320","Vibrio","00Asymptomatic","0-11mo",0.00117858121689475
"321","Vibrio","00Asymptomatic","12-23mo",0.00154039102227444
"322","Vibrio","00Asymptomatic","24-59mo",0.00290112986957458
"323","Vibrio","00Asymptomatic","99MixedAges",0.00136753932804729
"324","Vibrio","02Outpatient","0-11mo",0.00305498099779654
"325","Vibrio","02Outpatient","12-23mo",0.0039905208687285
"326","Vibrio","02Outpatient","24-59mo",0.00749938016508311
"327","Vibrio","02Outpatient","99MixedAges",0.00354370887440822
"328","Vibrio","03Inpatient","0-11mo",0.00904344349925496
"329","Vibrio","03Inpatient","12-23mo",0.011791166047188
"330","Vibrio","03Inpatient","24-59mo",0.0220075647067271
"331","Vibrio","03Inpatient","99MixedAges",0.0104801190422912
