"","CONDITION","SYNDROME","AGERANGE","prev_pop1","prev_pop2","prev_pop3","prev_pop4"
"169","ETST","02Outpatient","99MixedAges",0.0537292129479592,0.0631458287385928,0.0548714865946619,0.0979815626368599
"170","ETST","03Inpatient","0-11mo",0.0684064298231396,0.0772051700015959,0.0700970885682701,0.114893863537377
"171","ETST","03Inpatient","12-23mo",0.1038947405028,0.116596885858851,0.106316129618134,0.169878745621668
"172","ETST","03Inpatient","24-59mo",0.0898345271549723,0.10100768325556,0.0919414510911127,0.148210702587156
"173","ETST","03Inpatient","99MixedAges",0.0654942230353717,0.0761747035421936,0.0673502910488934,0.116081259255125
"174","ETST","04Unspecified","99MixedAges",0.060248851762733,0.070982758949888,0.062182460095501,0.111378172160597
"175","Entamoeba","00Asymptomatic","0-11mo",0.00405746984433217,0.00341869909432307,0.00375922375425178,0.00564251947567331
"176","Entamoeba","00Asymptomatic","12-23mo",0.00501359259114288,0.00422673605751647,0.00464588525090284,0.00696003991460087
"177","Entamoeba","00Asymptomatic","24-59mo",0.00840659319333509,0.00708485758272521,0.0077632490291898,0.0116042146126558
"178","Entamoeba","00Asymptomatic","99MixedAges",0.00919470349045619,0.00758477063159803,0.00835686842973169,0.0126948701059941
"179","Entamoeba","01CommunityDetected","0-11mo",0.0100110344595667,0.00830453544045546,0.00904077654030343,0.0139231064246319
"180","Entamoeba","01CommunityDetected","12-23mo",0.0123526847984454,0.0102554952880402,0.0111592067764736,0.0171408024824922
"181","Entamoeba","01CommunityDetected","99MixedAges",0.0225157672268071,0.0183151298646304,0.0199684475822657,0.0310023372677817
"182","Entamoeba","02Outpatient","0-11mo",0.00655344176565176,0.00553224389548204,0.00607196009889046,0.00900586421135155
"183","Entamoeba","02Outpatient","12-23mo",0.00809294861023404,0.0068364072668415,0.00750000374076091,0.0110999542985135
"184","Entamoeba","02Outpatient","24-59mo",0.0135415725773149,0.0114389185720588,0.0125083989085448,0.0184552010990043
"185","Entamoeba","02Outpatient","99MixedAges",0.0148038954114773,0.0122422695632283,0.01345993575504,0.020176621813134
"186","Entamoeba","03Inpatient","0-11mo",0.0122271706410141,0.0105384023020336,0.0113041669877313,0.0171340847873976
"187","Entamoeba","03Inpatient","12-23mo",0.0150792948987889,0.0130072745324468,0.0139454901832892,0.0210779909573832
"188","Entamoeba","03Inpatient","24-59mo",0.0251124339735345,0.0216735705790359,0.0231576604581811,0.034812303435114
"189","Entamoeba","03Inpatient","99MixedAges",0.0274233878634634,0.0231788441946686,0.0248988798589806,0.0380003753415569
"190","Entamoeba","04Unspecified","0-11mo",0.00724155402255704,0.00613619677950815,0.00697660989091898,0.010453875042987
"191","Entamoeba","04Unspecified","12-23mo",0.00894125441643982,0.00758164970941151,0.00861557078010787,0.0128802879008454
