"","CONDITION","SYNDROME","AGERANGE","RawPrev","MEPrev","PrevPercentageChange","aOR","aOR_CI_lo","aOR_CI_hi","PAF"
"73","ETST","01CommunityDetected","0-11mo",0.141414757419736,0.0701247925178794,50.4119698697777,1.76520347613447,1.36946904955831,2.27529297807948,0.0509270053847099
"74","ETST","02Outpatient","0-11mo",0.0950119638921657,0.0738429148287449,22.2804036420578,1.69945116769102,1.35898503941566,2.12521417646233,0.0491128578143916
"75","ETST","03Inpatient","0-11mo",0.156967730703104,0.0874985504086676,44.256981981751,2.62281628433704,1.92880555024367,3.56654161458344,0.124338712330891
"76","ETST","01CommunityDetected","12-23mo",0.22334283263204,0.106709431431413,52.2216897789515,1.69292938224586,1.3738615615167,2.08609802730585,0.068851105077198
"77","ETST","02Outpatient","12-23mo",0.132910127591359,0.112133409807007,15.6321554729308,1.79314434954014,1.4816209627842,2.17016817327257,0.0816740548913611
"78","ETST","03Inpatient","12-23mo",0.119629526757995,0.131861878629419,-10.2251945677005,1.87035555710583,1.41591907153121,2.47064255318886,0.102951332235154
"79","ETST","02Outpatient","24-59mo",0.126296343432519,0.0977709217364971,22.5861025907396,1.92343233178925,1.44012509787519,2.5689378932641,0.0828084806246618
"80","ETST","03Inpatient","24-59mo",0.145233502269585,0.115300640413538,20.6101632118496,2.20313743235776,1.47376919998196,3.29346993132665,0.121822932673754
"81","Entamoeba","01CommunityDetected","0-11mo",0.00530459603511765,0.00424518583499441,19.9715528403991,7.49717090393068,2.67132670360622,21.0410697751294,0.0268413674022893
"82","Entamoeba","02Outpatient","0-11mo",0.000699845293391679,0.00233282070023085,-233.33376994296,0.655168629468293,0.24290078192772,1.76716571117129,0
"83","Entamoeba","03Inpatient","0-11mo",0.00397022332506203,0.00439707330442505,-10.7512838552059,2.98870408690753,1.123712421638,7.94896625426399,0.00866867461946886
"84","Entamoeba","01CommunityDetected","12-23mo",0.00221984513148678,0.00600026076632443,-170.300872849885,2.63095755815047,1.31827871343481,5.25073916634349,0.00969132964203044
"85","Entamoeba","02Outpatient","12-23mo",0.00502228045761092,0.00329989212693611,34.2949451989413,1.40429471327588,0.527717289187155,3.73693203186907,0.00133235141272128
"86","Entamoeba","03Inpatient","12-23mo",0.00547945205479452,0.00621455073133486,-13.4155508468612,4.68638178551024,2.04707054777242,10.7285868889379,0.0223961290726827
"87","Entamoeba","02Outpatient","24-59mo",0.010662018246561,0.00677993508849343,36.4103968713403,3.92651379324945,1.90588774689002,8.08941166327143,0.0194555449280918
"88","Entamoeba","03Inpatient","24-59mo",0.00491803278688525,0.0127291160760324,-158.825360212659,6.17056751467729,2.39198717119775,15.9181052104576,0.0617524108358722
"89","Giardia","01CommunityDetected","0-11mo",0.165373859215356,0.146240228198211,11.5699247196188,1.03028615553209,0.70599201716471,1.50354329294555,0.00440952427383034
"90","Giardia","02Outpatient","0-11mo",0.202250328436938,0.137856395118206,31.8387286766808,0.985227047684042,0.671627883535444,1.44525318153648,0
"91","Giardia","03Inpatient","0-11mo",0.166374964546851,0.110509394583209,33.5781108148097,0.839619865979164,0.548512888461633,1.28522325395856,0
"92","Giardia","01CommunityDetected","12-23mo",0.445868483172919,0.430533238231561,3.43940994264246,0.889338474919195,0.722819958732094,1.09421843353491,0
"93","Giardia","02Outpatient","12-23mo",0.463317784476233,0.413749604623008,10.6985273421482,0.910009748957365,0.717320744851005,1.15445949269104,0
"94","Giardia","03Inpatient","12-23mo",0.330828818017448,0.35415494458684,-7.05081459020952,0.677077283208092,0.507410155366205,0.903477477910533,0
"95","Giardia","02Outpatient","24-59mo",0.5775770615596,0.612778549426845,-6.09468246058674,0.687092938310717,0.537550502804108,0.878236934788049,0
"96","Giardia","03Inpatient","24-59mo",0.374644973068362,0.551483827770539,-47.2017156012684,0.521006898944252,0.376459866652946,0.721054786426279,0
"97","Norovirus","01CommunityDetected","0-11mo",0.256821315491947,0.186245431672412,27.4805398003454,1.50453836556514,1.23366753008674,1.83488309309579,0.0858964509355682
"98","Norovirus","02Outpatient","0-11mo",0.179399696164773,0.149708908040712,16.5500771510734,1.04991500200566,0.892510578998776,1.23507949079231,0.00741729308741619
"99","Norovirus","03Inpatient","0-11mo",0.129230855479642,0.161915995319853,-25.2920556154332,1.08193225226084,0.874923938539425,1.33791904292428,0.0130924557936508
"100","Norovirus","01CommunityDetected","12-23mo",0.190465098650113,0.177816785687037,6.64075101040526,1.33881718379956,0.999580257703179,1.79318412686102,0.0568238918103931
"101","Norovirus","02Outpatient","12-23mo",0.195003866971773,0.142643903236013,26.8507309874731,1.1059353282575,0.884920982984709,1.38214933740491,0.0148860846605049
"102","Norovirus","03Inpatient","12-23mo",0.129369002532244,0.154379510484045,-19.3326897960482,1.02981832595285,0.774991033076768,1.36843620016863,0.0045822449392163
"103","Norovirus","02Outpatient","24-59mo",0.121236521052914,0.0964958702006334,20.406929065114,1.26394998883846,1.01057986535404,1.58084445282813,0.02483747138335
"104","Norovirus","03Inpatient","24-59mo",0.0681350863827796,0.104899317298322,-53.9578547079294,1.09947114081734,0.791522944320928,1.52722899337717,0.010326701265423
"105","Rotavirus","01CommunityDetected","0-11mo",0.147536902700817,0.169326573661713,-14.7689632641145,2.79903141760115,1.66123013692372,4.71612975383796,0.233495525542159
"106","Rotavirus","02Outpatient","0-11mo",0.291641244734088,0.237646465716026,18.5141093699873,5.10004411183359,3.41952801531434,7.60644446431226,0.493507011220112
"107","Rotavirus","03Inpatient","0-11mo",0.351450208024242,0.38035249004808,-8.22372027785067,7.0026698930987,4.42785435315763,11.0747512724173,0.695412650201185
"108","Rotavirus","01CommunityDetected","12-23mo",0.114335754769648,0.154935821822588,-35.5095106817084,3.93558105773682,2.69758133490954,5.7417354062973,0.312632889576177
"109","Rotavirus","02Outpatient","12-23mo",0.314458498839608,0.218979996076763,30.3628310620235,4.5621412633733,3.16215216767215,6.58195172254951,0.438214139338705
"110","Rotavirus","03Inpatient","12-23mo",0.284066040706275,0.355706947503396,-25.2198068516042,7.3297416351579,4.86191088341052,11.0502050997036,0.692452767118825
"111","Rotavirus","02Outpatient","24-59mo",0.265144445592275,0.151703657770908,42.7845235709029,4.35251434158947,2.73186398639883,6.93459893613323,0.337128796123549
"112","Rotavirus","03Inpatient","24-59mo",0.241710359280895,0.260431484031401,-7.74527198842555,6.37460085427505,3.77330572793215,10.7692137826302,0.583283896314788
"113","STEC","01CommunityDetected","0-11mo",0.0244977000561883,0.0399451051577879,-63.0565525178659,0.696256388116578,0.440983611337249,1.09929926085712,0
"114","STEC","02Outpatient","0-11mo",0.0241137260046571,0.0381822880100699,-58.3425473222004,0.594675281951137,0.433235189484078,0.816274161350553,0
"115","STEC","03Inpatient","0-11mo",0.026765121343298,0.0365333569814025,-36.4961380627195,0.690978786245424,0.384069098974103,1.24314006077691,0
"116","STEC","01CommunityDetected","12-23mo",0.0512373484953882,0.0666195628487733,-30.0214878503511,0.921898371609739,0.641985886024242,1.32385559570479,0
"117","STEC","02Outpatient","12-23mo",0.0275348404624573,0.0637577519014825,-131.553010043453,0.709135554752532,0.544985584970385,0.922727589283867,0
"118","STEC","03Inpatient","12-23mo",0.0125451838952139,0.0610744594662848,-386.835904331266,0.522268454559492,0.322193348389574,0.846585877676632,0
"119","STEC","02Outpatient","24-59mo",0.0369460395329724,0.0830674463630567,-124.834508415776,0.660749997344472,0.50217832237527,0.869393479443071,0
"120","STEC","03Inpatient","24-59mo",0.0573466708786476,0.0796406195149619,-38.8757504049205,0.469481879383763,0.280800522413136,0.784945957990139,0
"121","Salmonella","01CommunityDetected","0-11mo",0.0185708108966447,0.0183027479223877,1.44346402399378,1.1767314822837,0.582717450304871,2.37627512385827,0.00322424240430297
"122","Salmonella","02Outpatient","0-11mo",0.0339258314367136,0.0218523259345919,35.5879428471607,1.48433811955232,0.83755111728359,2.63059723483136,0.0104730683911136
"123","Salmonella","03Inpatient","0-11mo",0.0509197748892176,0.0325400527029654,36.0954505911301,2.45271518649649,1.23417994474401,4.87433928228214,0.0451377049293458
"124","Salmonella","01CommunityDetected","12-23mo",0.00467423880329665,0.0141965742563764,-203.719490034695,1.15111731029894,0.695502823005996,1.90519868250548,0.00214075545140596
"125","Salmonella","02Outpatient","12-23mo",0.0249116725224357,0.0169635743226984,31.9051167382649,1.53658087384229,0.967780555407568,2.43968611341192,0.00902022447789752
"126","Salmonella","03Inpatient","12-23mo",0.0258330285984935,0.0253221664562157,1.97755420093317,2.20896403446461,1.33136045099119,3.66506463514472,0.0297042352839967
"127","Salmonella","02Outpatient","24-59mo",0.024243397059729,0.0203380532593089,16.1088967474255,2.46332866591358,1.35396224129331,4.48165239121841,0.0289011226241981
"128","Salmonella","03Inpatient","24-59mo",0.184841323627277,0.0303081143727116,83.6031717486365,7.60084332499808,3.92710771037689,14.7112897103664,0.166707716346137
"129","Sapovirus","01CommunityDetected","0-11mo",0.163512969544252,0.116072714610427,29.0131449915269,1.89408139416396,1.6226353245764,2.21093690823886,0.0940210909896658
"130","Sapovirus","02Outpatient","0-11mo",0.0793495556606501,0.0659999001609409,16.8238566537171,1.04099858680886,0.878155619568014,1.23403874392006,0.0026986004859559
"131","Sapovirus","03Inpatient","0-11mo",0.0823176862597162,0.0688836346205014,16.319763406408,0.911366390870004,0.693601939905601,1.19750054119004,0
"132","Sapovirus","01CommunityDetected","12-23mo",0.244396531540171,0.153379822261554,37.2414079303974,2.20576868140686,1.87015566372369,2.60160989282986,0.156075830485616
